class,size,topics
0,56,patience_friendly_openness_willing_nice
1,63,work_together_ideas_collaborate_share
2,50,also_help_new_others_hope
3,39,questions_understand_understanding_question_learn
4,47,team_share_problems_working_together
5,25,respectful_respect_everyone_order_sharing
6,64,help_would_treat_ask_kind
7,17,contribute_discussion_listen_thoughts_discussions
8,54,class_course_discussions_lectures_also
9,25,environment_safe_create_university_space
10,30,make_others_mistakes_struggling_mistake
